## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647650.rg.bam] OUTPUT=SRR11647650dedp.bam METRICS_FILE=50metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 02:10:20 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11647650	27031610	297433829	34493024	0	6624883	30900631	0	0.110028	1330510154

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	237544490	237544490
2.0	1.799676	25670892	25670892
3.0	2.439158	2280548	2280548
4.0	2.950536	187645	187645
5.0	3.359472	18054	18054
6.0	3.686489	3423	3423
7.0	3.947997	1229	1229
8.0	4.157118	569	569
9.0	4.324347	255	255
10.0	4.458076	154	154
11.0	4.565016	79	79
12.0	4.650534	38	38
13.0	4.71892	13	13
14.0	4.773607	5	5
15.0	4.817338	3	3
16.0	4.85231	2	2
17.0	4.880275	1	1
18.0	4.902639	0	0
19.0	4.920522	1	1
20.0	4.934823	0	0
21.0	4.946259	0	0
22.0	4.955405	0	0
23.0	4.962718	0	0
24.0	4.968566	0	0
25.0	4.973243	1	1
26.0	4.976983	0	0
27.0	4.979973	0	0
28.0	4.982365	0	0
29.0	4.984277	0	0
30.0	4.985807	0	0
31.0	4.98703	0	0
32.0	4.988008	0	0
33.0	4.98879	0	0
34.0	4.989415	0	0
35.0	4.989915	0	0
36.0	4.990315	1	1
37.0	4.990635	0	0
38.0	4.990891	0	0
39.0	4.991095	0	0
40.0	4.991259	0	0
41.0	4.991389	0	0
42.0	4.991494	0	0
43.0	4.991578	0	0
44.0	4.991645	0	0
45.0	4.991698	0	0
46.0	4.991741	0	0
47.0	4.991775	0	0
48.0	4.991802	0	0
49.0	4.991824	0	0
50.0	4.991842	0	0
51.0	4.991856	0	0
52.0	4.991867	0	0
53.0	4.991876	0	0
54.0	4.991883	0	0
55.0	4.991889	0	0
56.0	4.991893	0	0
57.0	4.991897	0	0
58.0	4.9919	0	0
59.0	4.991902	0	0
60.0	4.991904	0	0
61.0	4.991906	0	0
62.0	4.991907	0	0
63.0	4.991908	0	0
64.0	4.991909	0	0
65.0	4.991909	0	0
66.0	4.99191	0	0
67.0	4.99191	0	0
68.0	4.99191	0	0
69.0	4.991911	0	0
70.0	4.991911	0	0
71.0	4.991911	0	0
72.0	4.991911	0	0
73.0	4.991911	0	0
74.0	4.991911	0	0
75.0	4.991911	0	0
76.0	4.991911	0	0
77.0	4.991911	0	0
78.0	4.991911	0	0
79.0	4.991911	0	0
80.0	4.991911	0	0
81.0	4.991911	0	0
82.0	4.991912	0	0
83.0	4.991912	0	0
84.0	4.991912	0	0
85.0	4.991912	0	0
86.0	4.991912	0	0
87.0	4.991912	0	0
88.0	4.991912	0	0
89.0	4.991912	0	0
90.0	4.991912	0	0
91.0	4.991912	0	0
92.0	4.991912	0	0
93.0	4.991912	0	0
94.0	4.991912	0	0
95.0	4.991912	0	0
96.0	4.991912	0	0
97.0	4.991912	0	0
98.0	4.991912	0	0
99.0	4.991912	0	0
100.0	4.991912	0	0

