## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647658.rg.bam] OUTPUT=SRR11647658dedp.bam METRICS_FILE=58metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri May 01 23:41:35 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11647658	29650745	300045604	36885334	0	5722505	15701151	0	0.058952	2765990624

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	268509703	268509703
2.0	1.8972	14155002	14155002
3.0	2.702167	639307	639307
4.0	3.424384	46870	46870
5.0	4.072356	10897	10897
6.0	4.653717	4863	4863
7.0	5.175314	2714	2714
8.0	5.643291	1706	1706
9.0	6.063159	1136	1136
10.0	6.439865	674	674
11.0	6.777845	478	478
12.0	7.081081	288	288
13.0	7.353145	162	162
14.0	7.59724	137	137
15.0	7.816242	63	63
16.0	8.01273	54	54
17.0	8.18902	39	39
18.0	8.347187	16	16
19.0	8.489094	17	17
20.0	8.616413	13	13
21.0	8.730644	8	8
22.0	8.833132	1	1
23.0	8.925084	2	2
24.0	9.007583	4	4
25.0	9.081602	4	4
26.0	9.148011	3	3
27.0	9.207594	0	0
28.0	9.261051	2	2
29.0	9.309013	4	4
30.0	9.352044	0	0
31.0	9.390652	0	0
32.0	9.425291	1	1
33.0	9.456369	0	0
34.0	9.484252	0	0
35.0	9.509269	1	1
36.0	9.531714	1	1
37.0	9.551852	0	0
38.0	9.569919	0	0
39.0	9.586129	0	0
40.0	9.600673	0	0
41.0	9.613722	0	0
42.0	9.625429	0	0
43.0	9.635933	0	0
44.0	9.645357	0	0
45.0	9.653812	0	0
46.0	9.661398	0	0
47.0	9.668204	0	0
48.0	9.67431	0	0
49.0	9.679789	0	0
50.0	9.684705	0	0
51.0	9.689115	0	0
52.0	9.693072	0	0
53.0	9.696622	0	0
54.0	9.699807	0	0
55.0	9.702665	0	0
56.0	9.705229	0	0
57.0	9.707529	0	0
58.0	9.709593	0	0
59.0	9.711444	0	0
60.0	9.713106	0	0
61.0	9.714596	0	0
62.0	9.715934	0	0
63.0	9.717134	0	0
64.0	9.71821	0	0
65.0	9.719176	0	0
66.0	9.720042	0	0
67.0	9.72082	0	0
68.0	9.721517	0	0
69.0	9.722143	0	0
70.0	9.722705	0	0
71.0	9.723209	0	0
72.0	9.723661	0	0
73.0	9.724066	0	0
74.0	9.72443	0	0
75.0	9.724756	1	1
76.0	9.725049	0	0
77.0	9.725312	0	0
78.0	9.725548	0	0
79.0	9.725759	0	0
80.0	9.725949	0	0
81.0	9.726119	0	0
82.0	9.726272	0	0
83.0	9.726409	0	0
84.0	9.726532	0	0
85.0	9.726642	0	0
86.0	9.726741	0	0
87.0	9.72683	0	0
88.0	9.72691	0	0
89.0	9.726981	0	0
90.0	9.727046	0	0
91.0	9.727103	0	0
92.0	9.727155	0	0
93.0	9.727201	0	0
94.0	9.727243	0	0
95.0	9.72728	0	0
96.0	9.727313	0	0
97.0	9.727343	0	0
98.0	9.72737	0	0
99.0	9.727394	0	0
100.0	9.727416	0	0

